,,,,,Type,W,L,Win %,Units,Total Plays,ROI,,,,,,
HOME,January,230,NBA,,1.00,SPREAD,1.91,lose,-1.00,1.95,Sunday,1817,-117.10,❌,win,0.95,UN
HOME,January,227,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.20,Sunday,1818,-116.19,✅,lose,-1.00,UN
HOME,January,232.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.10,Monday,1819,-117.19,❌,win,1.1,UN
AWAY,January,229.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.80,Monday,1820,-116.28,✅,lose,-1.00,OV
AWAY,January,226.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.10,Monday,1821,-117.28,❌,lose,-1.00,UN
HOME,January,232,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.75,Monday,1822,-118.28,❌,win,3.75,UN
HOME,January,238.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,7.50,Monday,1823,-119.28,❌,lose,-1.00,UN
HOME,January,227.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.80,Monday,1824,-118.37,✅,lose,-1.00,UN
AWAY,January,215,NBA,,1.00,SPREAD,1.91,win,0.91,4.00,Monday,1825,-117.46,✅,lose,-1.00,OV
HOME,January,223.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.20,Monday,1826,-118.46,❌,lose,-1.00,UN
HOME,January,239.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.60,Monday,1827,-117.55,✅,lose,-1.00,OV
AWAY,January,223,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.10,Tuesday,1828,-116.64,✅,lose,-1.00,OV
HOME,January,225,NBA,,1.00,SPREAD,1.91,win,0.91,2.20,Tuesday,1829,-115.73,✅,lose,-1.00,OV
HOME,January,221,NBA,,1.00,SPREAD,1.91,win,0.91,2.45,Tuesday,1830,-114.82,✅,lose,-1.00,UN
AWAY,January,238.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.75,Tuesday,1831,-115.82,❌,win,4.75,OV
AWAY,January,227.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.25,Tuesday,1832,-114.91,✅,lose,-1.00,OV
HOME,January,225,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.45,Tuesday,1833,-115.91,❌,win,1.45,OV
AWAY,January,238.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.50,Tuesday,1834,-115.00,✅,lose,-1.00,OV
AWAY,January,238,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.30,Wednesday,1835,-114.09,✅,lose,-1.00,UN
HOME,January,226,NBA,,1.00,SPREAD,1.91,win,0.91,4.50,Wednesday,1836,-113.18,✅,lose,-1.00,UN
HOME,January,220,NBA,,1.00,SPREAD,1.91,win,0.91,5.75,Wednesday,1837,-112.27,✅,lose,-1.00,UN
HOME,January,240,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.00,Wednesday,1838,-113.27,❌,win,1,OV
AWAY,January,231.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.10,Wednesday,1839,-112.36,✅,lose,-1.00,UN
AWAY,January,224,NBA,,1.00,SPREAD,1.91,win,0.91,5.00,Wednesday,1840,-111.45,✅,lose,-1.00,PUSH
AWAY,January,227.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.75,Wednesday,1841,-110.54,✅,lose,-1.00,OV
HOME,January,225,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.40,Thursday,1842,-111.54,❌,win,1.4,UN
AWAY,January,221.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.15,Thursday,1843,-112.54,❌,win,1.15,OV
AWAY,January,227.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.05,Thursday,1844,-111.63,✅,lose,-1.00,UN
AWAY,January,234.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.05,Thursday,1845,-112.63,❌,win,2.05,OV
HOME,January,239.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.90,Thursday,1846,-113.63,❌,win,2.9,UN
AWAY,January,239,NBA,,1.00,SPREAD,1.91,win,0.91,5.50,Thursday,1847,-112.72,✅,lose,-1.00,UN
HOME,January,224.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.15,Thursday,1848,-111.81,✅,lose,-1.00,UN
HOME,January,236,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.25,Thursday,1849,-110.90,✅,lose,-1.00,OV
HOME,January,217.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.45,Friday,1850,-111.90,❌,win,1.45,UN
AWAY,January,233.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.25,Friday,1851,-112.90,❌,win,1.25,UN
AWAY,January,215.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.75,Friday,1852,-113.90,❌,lose,-1.00,OV
HOME,January,233.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.25,Friday,1853,-114.90,❌,lose,-1.00,OV
HOME,January,240,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.80,Friday,1854,-115.90,❌,win,1.8,OV
HOME,January,226.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,7.00,Friday,1855,-116.90,❌,win,6,OV
HOME,January,213.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.55,Friday,1856,-117.90,❌,win,2.55,UN
AWAY,January,224,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.35,Friday,1857,-116.99,✅,lose,-1.00,UN
HOME,January,233.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,4.90,Saturday,1858,-117.99,❌,lose,-1.00,OV
HOME,January,227,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.00,Saturday,1859,-118.99,❌,win,1,UN
HOME,January,226.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,1.95,Saturday,1860,-119.99,❌,win,0.95,UN
AWAY,January,231.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.30,Saturday,1861,-120.99,❌,win,1.3,UN
AWAY,January,234,NBA,,1.00,SPREAD,1.91,win,0.91,2.45,Saturday,1862,-120.08,✅,lose,-1.00,UN
AWAY,January,245.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,3.10,Saturday,1863,-119.17,✅,lose,-1.00,OV
HOME,January,226.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,5.50,Sunday,1864,-118.26,✅,lose,-1.00,OV
HOME,January,238,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.75,Sunday,1865,-119.26,❌,win,1.75,UN
HOME,January,224.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.90,Sunday,1866,-120.26,❌,win,3.9,UN
HOME,January,239.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,5.00,Sunday,1867,-121.26,❌,win,4,UN
HOME,January,225,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.55,Sunday,1868,-122.26,❌,win,1.55,UN
HOME,January,211,NBA,LG,1.00,SPREAD,1.91,win,0.91,4.50,Sunday,1869,-121.35,✅,lose,-1.00,OV
HOME,January,234.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.80,Monday,1870,-120.44,✅,lose,-1.00,OV
HOME,January,228.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.05,Monday,1871,-119.53,✅,lose,-1.00,UN
HOME,January,224.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.80,Monday,1872,-118.62,✅,lose,-1.00,UN
HOME,January,223.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.70,Monday,1873,-119.62,❌,lose,-1.00,UN
AWAY,January,235,NBA,,1.00,SPREAD,1.91,win,0.91,2.05,Monday,1874,-118.71,✅,lose,-1.00,OV
HOME,January,225.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.90,Monday,1875,-119.71,❌,lose,-1.00,UN
HOME,January,225.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,3.35,Monday,1876,-118.80,✅,lose,-1.00,UN
AWAY,January,233,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,3.05,Tuesday,1877,-119.80,❌,win,2.05,UN
HOME,January,225.5,NBA,,1.00,SPREAD,1.91,win,0.91,6.50,Tuesday,1878,-118.89,✅,lose,-1.00,UN
HOME,January,233.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.75,Tuesday,1879,-119.89,❌,lose,-1.00,UN
HOME,January,219.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.10,Tuesday,1880,-118.98,✅,lose,-1.00,OV
AWAY,January,216,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.10,Tuesday,1881,-119.98,❌,lose,-1.00,PUSH
HOME,January,210.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.60,Tuesday,1882,-120.98,❌,lose,-1.00,UN
AWAY,January,234.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,3.65,Tuesday,1883,-120.07,✅,lose,-1.00,UN
HOME,January,234,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.40,Wednesday,1884,-119.16,✅,lose,-1.00,UN
AWAY,January,235.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.10,Wednesday,1885,-120.16,❌,win,1.1,UN
HOME,January,232.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.75,Wednesday,1886,-121.16,❌,win,1.75,UN
HOME,January,233,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.25,Wednesday,1887,-122.16,❌,win,1.25,OV
HOME,January,221.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.05,Wednesday,1888,-123.16,❌,win,1.05,UN
AWAY,January,230.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.10,Wednesday,1889,-122.25,✅,lose,-1.00,UN
AWAY,January,229.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.60,Wednesday,1890,-121.34,✅,lose,-1.00,UN
AWAY,January,241,NBA,,1.00,SPREAD,1.91,win,0.91,3.40,Wednesday,1891,-120.43,✅,lose,-1.00,OV
HOME,January,220.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.20,Wednesday,1892,-121.43,❌,win,1.2,UN
HOME,January,230,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,4.50,Thursday,1893,-122.43,❌,lose,-1.00,UN
AWAY,January,223,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.10,Thursday,1894,-123.43,❌,win,1.1,UN
AWAY,January,222.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.90,Thursday,1895,-122.52,✅,lose,-1.00,UN
AWAY,January,238,NBA,,1.00,SPREAD,1.91,win,0.91,2.20,Thursday,1896,-121.61,✅,lose,-1.00,UN
AWAY,January,226.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.25,Thursday,1897,-122.61,❌,lose,-1.00,OV
HOME,January,209.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.10,Thursday,1898,-123.61,❌,lose,-1.00,OV
AWAY,January,214.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.30,Thursday,1899,-124.61,❌,win,1.3,UN
AWAY,January,227.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.75,Thursday,1900,-125.61,❌,win,1.75,OV
AWAY,January,230,NBA,FG,1.00,SPREAD,1.91,win,0.91,4.50,Friday,1901,-124.70,✅,lose,-1.00,OV
HOME,January,217,NBA,,1.00,SPREAD,1.91,win,0.91,4.75,Friday,1902,-123.79,✅,lose,-1.00,UN
HOME,January,231.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.25,Friday,1903,-122.88,✅,lose,-1.00,UN
HOME,January,224,NBA,,1.00,SPREAD,1.91,win,0.91,3.05,Friday,1904,-121.97,✅,lose,-1.00,UN
HOME,January,222,NBA,,1.00,SPREAD,1.91,win,0.91,2.15,Friday,1905,-121.06,✅,lose,-1.00,OV
AWAY,January,219,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.15,Friday,1906,-122.06,❌,win,1.15,OV
AWAY,January,222.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.10,Friday,1907,-123.06,❌,win,1.1,OV
HOME,January,226,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.40,Friday,1908,-124.06,❌,win,1.4,UN
HOME,January,225.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.15,Friday,1909,-125.06,❌,win,1.15,OV
AWAY,January,227.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.45,Saturday,1910,-126.06,❌,win,1.45,UN
AWAY,January,234.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.05,Saturday,1911,-127.06,❌,win,1.05,OV
HOME,January,234.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.80,Saturday,1912,-126.15,✅,lose,-1.00,OV
AWAY,January,229.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.75,Saturday,1913,-125.24,✅,lose,-1.00,OV
HOME,January,232,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.75,Saturday,1914,-126.24,❌,win,1.75,OV
HOME,January,223,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,4.25,Saturday,1915,-127.24,❌,lose,-1.00,UN
HOME,February,217.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,5.75,Sunday,1916,-126.33,✅,lose,-1.00,UN
HOME,February,213.5,NBA,,1.00,SPREAD,1.91,win,0.91,6.00,Sunday,1917,-125.42,✅,lose,-1.00,UN
HOME,February,234.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.85,Sunday,1918,-124.51,✅,lose,-1.00,UN
HOME,February,234.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.00,Sunday,1919,-125.51,❌,lose,-1.00,UN
AWAY,February,227.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.00,Sunday,1920,-126.51,❌,win,1,OV
HOME,February,228,NBA,,1.00,SPREAD,1.91,win,0.91,2.85,Sunday,1921,-125.60,✅,lose,-1.00,UN
HOME,February,209.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.30,Sunday,1922,-126.60,❌,win,1.3,OV
AWAY,February,229.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.10,Sunday,1923,-125.69,✅,lose,-1.00,OV
HOME,February,223.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.60,Sunday,1924,-124.78,✅,lose,-1.00,UN
AWAY,February,226,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.95,Sunday,1925,-123.87,✅,lose,-1.00,OV
HOME,February,230.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,3.10,Monday,1926,-122.96,✅,lose,-1.00,UN
AWAY,February,218.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.10,Monday,1927,-123.96,❌,lose,-1.00,OV
AWAY,February,231.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.45,Monday,1928,-124.96,❌,win,2.45,OV
AWAY,February,218,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.00,Monday,1929,-124.05,✅,lose,-1.00,OV
HOME,February,229,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.70,Tuesday,1930,-125.05,❌,lose,-1.00,OV
AWAY,February,232.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.20,Tuesday,1931,-124.14,✅,lose,-1.00,OV
AWAY,February,227.5,NBA,,1.00,SPREAD,1.91,win,0.91,5.50,Tuesday,1932,-123.23,✅,lose,-1.00,OV
AWAY,February,222.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.60,Tuesday,1933,-122.32,✅,lose,-1.00,OV
HOME,February,236,NBA,,1.00,SPREAD,1.91,lose,-1.00,1.95,Tuesday,1934,-123.32,❌,win,0.95,OV
AWAY,February,223,NBA,,1.00,SPREAD,1.91,win,0.91,3.20,Tuesday,1935,-122.41,✅,lose,-1.00,UN
AWAY,February,222,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.00,Tuesday,1936,-123.41,❌,win,1,OV
HOME,February,222.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.50,Tuesday,1937,-122.50,✅,lose,-1.00,UN
HOME,February,221.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.60,Tuesday,1938,-123.50,❌,win,1.6,UN
AWAY,February,219,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.35,Tuesday,1939,-122.59,✅,lose,-1.00,OV
HOME,February,227.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.60,Wednesday,1940,-121.68,✅,lose,-1.00,OV
AWAY,February,228.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.20,Wednesday,1941,-122.68,❌,lose,-1.00,OV
HOME,February,211,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.20,Wednesday,1942,-123.68,❌,win,2.2,UN
AWAY,February,223.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.60,Wednesday,1943,-124.68,❌,win,1.6,OV
HOME,February,233.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.10,Wednesday,1944,-125.68,❌,win,1.1,OV
AWAY,February,221.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.30,Wednesday,1945,-124.77,✅,lose,-1.00,UN
HOME,February,227,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,7.00,Thursday,1946,-125.77,❌,win,6,OV
HOME,February,214,NBA,,1.00,SPREAD,1.91,win,0.91,3.80,Thursday,1947,-124.86,✅,lose,-1.00,OV
HOME,February,245.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.50,Thursday,1948,-125.86,❌,lose,-1.00,UN
HOME,February,227,NBA,,1.00,SPREAD,1.91,win,0.91,3.45,Thursday,1949,-124.95,✅,lose,-1.00,OV
HOME,February,218.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.50,Thursday,1950,-125.95,❌,win,1.5,UN
AWAY,February,230.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.50,Thursday,1951,-125.04,✅,lose,-1.00,OV
HOME,February,235.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.25,Thursday,1952,-124.13,✅,lose,-1.00,UN
HOME,February,214,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.75,Thursday,1953,-125.13,❌,win,1.75,UN
HOME,February,228,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.85,Friday,1954,-126.13,❌,lose,-1.00,UN
HOME,February,220.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.75,Friday,1955,-125.22,✅,lose,-1.00,UN
AWAY,February,223,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.05,Friday,1956,-126.22,❌,win,1.05,UN
HOME,February,237,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.80,Friday,1957,-127.22,❌,win,2.8,UN
HOME,February,233,NBA,,1.00,SPREAD,1.91,win,0.91,3.25,Friday,1958,-126.31,✅,lose,-1.00,OV
AWAY,February,222,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.40,Friday,1959,-127.31,❌,lose,-1.00,OV
HOME,February,218.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,3.10,Saturday,1960,-126.40,✅,lose,-1.00,OV
HOME,February,213,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.40,Saturday,1961,-127.40,❌,win,1.4,OV
HOME,February,233,NBA,,1.00,SPREAD,1.91,win,0.91,4.50,Saturday,1962,-126.49,✅,lose,-1.00,OV
HOME,February,234.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.35,Saturday,1963,-127.49,❌,lose,-1.00,OV
AWAY,February,234.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.05,Saturday,1964,-126.58,✅,lose,-1.00,OV
AWAY,February,236,NBA,,1.00,SPREAD,1.91,win,0.91,3.80,Saturday,1965,-125.67,✅,lose,-1.00,OV
HOME,February,220.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.05,Saturday,1966,-124.76,✅,lose,-1.00,UN
HOME,February,225,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.40,Saturday,1967,-125.76,❌,win,1.4,UN
HOME,February,227.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.65,Saturday,1968,-126.76,❌,lose,-1.00,OV
HOME,February,214.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.30,Sunday,1969,-127.76,❌,win,1.3,UN
AWAY,February,238,NBA,,1.00,SPREAD,1.91,win,0.91,5.50,Sunday,1970,-126.85,✅,lose,-1.00,UN
HOME,February,223,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.00,Sunday,1971,-127.85,❌,win,3,UN
HOME,February,226,NBA,LG,1.00,SPREAD,1.91,win,0.91,4.20,Sunday,1972,-126.94,✅,lose,-1.00,UN
AWAY,February,221.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.20,Monday,1973,-126.03,✅,lose,-1.00,UN
AWAY,February,218.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.35,Monday,1974,-127.03,❌,win,1.35,OV
HOME,February,235.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.00,Monday,1975,-128.03,❌,win,2,UN
HOME,February,220.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.20,Monday,1976,-127.12,✅,lose,-1.00,UN
HOME,February,238.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.80,Monday,1977,-126.21,✅,lose,-1.00,OV
HOME,February,229.5,NBA,,1.00,SPREAD,1.91,win,0.91,4.10,Monday,1978,-125.30,✅,lose,-1.00,UN
HOME,February,241.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.15,Monday,1979,-126.30,❌,win,1.15,UN
HOME,February,218.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.10,Monday,1980,-127.30,❌,lose,-1.00,OV
AWAY,February,221.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.05,Monday,1981,-126.39,✅,lose,-1.00,OV
AWAY,February,231.5,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,1.95,Monday,1982,-127.39,❌,win,0.95,OV
HOME,February,228,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,5.00,Tuesday,1983,-128.39,❌,win,4,OV
HOME,February,214.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.50,Tuesday,1984,-129.39,❌,lose,-1.00,UN
HOME,February,227.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.40,Tuesday,1985,-128.48,✅,lose,-1.00,OV
AWAY,February,225.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,5.75,Tuesday,1986,-127.57,✅,lose,-1.00,OV
HOME,February,235.5,NBA,FG,1.00,SPREAD,1.91,win,0.91,2.10,Wednesday,1987,-126.66,✅,lose,-1.00,UN
HOME,February,239,NBA,,1.00,SPREAD,1.91,win,0.91,8.50,Wednesday,1988,-125.75,✅,lose,-1.00,OV
HOME,February,219.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,4.50,Wednesday,1989,-126.75,❌,win,3.5,OV
HOME,February,226.5,NBA,,1.00,SPREAD,1.91,win,0.91,6.00,Wednesday,1990,-125.84,✅,lose,-1.00,OV
HOME,February,215,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.85,Wednesday,1991,-126.84,❌,win,1.85,OV
AWAY,February,224.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.10,Wednesday,1992,-125.93,✅,lose,-1.00,OV
HOME,February,223,NBA,,1.00,SPREAD,1.91,lose,-1.00,1.95,Wednesday,1993,-126.93,❌,win,0.95,UN
HOME,February,212,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.70,Wednesday,1994,-127.93,❌,win,2.7,UN
HOME,February,238,NBA,,1.00,SPREAD,1.91,win,0.91,3.65,Wednesday,1995,-127.02,✅,lose,-1.00,OV
HOME,February,233,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.05,Wednesday,1996,-128.02,❌,win,1.05,OV
HOME,February,239,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.25,Wednesday,1997,-129.02,❌,lose,-1.00,UN
AWAY,February,213.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.40,Wednesday,1998,-128.11,✅,lose,-1.00,OV
HOME,February,230,NBA,,1.00,SPREAD,1.91,win,0.91,2.75,Wednesday,1999,-127.20,✅,lose,-1.00,UN
AWAY,February,220.5,NBA,LG,1.00,SPREAD,1.91,win,0.91,2.90,Wednesday,2000,-126.29,✅,lose,-1.00,OV
HOME,February,214.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,5.50,Thursday,2001,-127.29,❌,win,4.5,UN
AWAY,February,235.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.95,Thursday,2002,-126.38,✅,lose,-1.00,OV
HOME,February,238,NBA,LG,1.00,SPREAD,1.91,win,0.91,3.10,Thursday,2003,-125.47,✅,lose,-1.00,UN
AWAY,February,218.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.55,Thursday,2004,-126.47,❌,lose,-1.00,UN
HOME,February,229.5,NBA,,1.00,SPREAD,1.91,win,0.91,8.50,Thursday,2005,-125.56,✅,lose,-1.00,UN
HOME,February,241.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,1.95,Thursday,2006,-126.56,❌,win,0.95,UN
AWAY,February,233,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.10,Thursday,2007,-127.56,❌,win,1.1,UN
HOME,February,219.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.40,Thursday,2008,-128.56,❌,win,1.4,OV
AWAY,February,235,NBA,,1.00,SPREAD,1.91,win,0.91,2.90,Thursday,2009,-127.65,✅,lose,-1.00,UN
HOME,February,229.5,NBA,,1.00,SPREAD,1.91,win,0.91,3.30,Thursday,2010,-126.74,✅,lose,-1.00,UN
AWAY,February,211,NBA,,1.00,SPREAD,1.91,win,0.91,2.95,Thursday,2011,-125.83,✅,lose,-1.00,OV
AWAY,February,226,NBA,,1.00,SPREAD,1.91,win,0.91,4.00,Thursday,2012,-124.92,✅,lose,-1.00,UN
AWAY,February,226,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,2.50,Thursday,2013,-125.92,❌,win,1.5,OV
AWAY,February,228.5,NBA,FG,1.00,SPREAD,1.91,lose,-1.00,2.75,Friday,2014,-126.92,❌,lose,-1.00,OV
HOME,February,236.5,NBA,,1.00,SPREAD,1.91,win,0.91,2.20,Friday,2015,-126.01,✅,lose,-1.00,OV
HOME,February,230,NBA,,1.00,SPREAD,1.91,win,0.91,2.00,Friday,2016,-125.10,✅,lose,-1.00,OV
AWAY,February,244,NBA,,1.00,SPREAD,1.91,win,0.91,2.25,Friday,2017,-124.19,✅,lose,-1.00,UN
HOME,February,239.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,6.25,Friday,2018,-125.19,❌,lose,-1.00,UN
HOME,February,223.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.50,Friday,2019,-126.19,❌,win,1.5,OV
HOME,February,214.5,NBA,,1.00,SPREAD,1.91,win,0.91,9.00,Friday,2020,-125.28,✅,lose,-1.00,UN
HOME,February,225,NBA,,1.00,SPREAD,1.91,lose,-1.00,3.20,Friday,2021,-126.28,❌,lose,-1.00,OV
HOME,February,240,NBA,LG,1.00,SPREAD,1.91,lose,-1.00,1.95,Friday,2022,-127.28,❌,win,0.95,OV
AWAY,February,235,NBA,,1.00,SPREAD,1.91,lose,-1.00,2.40,Saturday,2023,-128.28,❌,win,1.4,OV
AWAY,February,235.5,NBA,,1.00,SPREAD,1.91,win,0.91,5.25,Saturday,2024,-127.37,✅,lose,-1.00,OV
HOME,February,237.5,NBA,,1.00,SPREAD,1.91,win,0.91,5.00,Saturday,2025,-126.46,✅,lose,-1.00,OV
HOME,February,230.5,NBA,,1.00,SPREAD,1.91,lose,-1.00,11.00,Saturday,2026,-127.46,❌,lose,-1.00,OV
